
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Introduzca la contraseña correcta arriba y, a continuación, escriba los caracteres que ve en la imagen siguiente.
#From:regenerate,Regenerate
regenerate,Regenerar
#From:li.alert.4,Please enter the graphical authentication code.
li.alert.4,Introduzca el código de autenticación gráfica.
#From:.graph_auth,Enable Graphical Authentication
.graph_auth,Activar autenticación gráfica

#From:bwn.msg.usb,Choose the type of USB device to be plugged into the USB port.
bwn.msg.usb,Seleccione el tipo de dispositivo de USB que se tiene que conectar al puerto USB.
#From:bwn.note.usb,If using the Network USB option, users will need to install the Network USB Utility into their computers to share the USB device through the router.
bwn.note.usb,Si se utiliza la opción de USB de red, los usuarios tendrán que instalar la utilidad USB de red en sus ordenadores para compartir el dispositivo USB a través del router.
#From:.country,Country
.country,País
#From:.select.country,Select your country
.select.country,Seleccione su país
#From:.select.ISP,Select your ISP
.select.ISP,Seleccione su ISP
#From:country.1,Australia
country.1,Australia
#From:country.2,Italy
country.2,Italia
#From:country.3,Portugal
country.3,Portugal
#From:country.4,UK
country.4,Reino Unido
#From:country.5,Indonesia
country.5,Indonesia
#From:country.6,Malaysia
country.6,Malasia
#From:country.7,Singapore
country.7,Singapur
#From:country.8,Philippine
country.8,Filipinas
#From:country.9,South Africa
country.9,Sudáfrica
#From:country.10,HongKong
country.10,Hong Kong
#From:country.11,Taiwan
country.11,Taiwán
#From:country.12,Egypt
country.12,Egipto
#From:country.13,Dominican Republic
country.13,República Dominicana
#From:country.14,El Salvador
country.14,El Salvador
#From:country.15,Brasil
country.15,Brasil


#From:usb3g.titile,USB 3.5G Settings
usb3g.titile,Parámetros para USB 3,5 G
#From:usb3g_apn_name,APN Name
usb3g_apn_name,Nombre de APN
#From:usb3g_dial_num,Dial Mumber
usb3g_dial_num,Marcar número
#From:usb3g_reconnect_mode,Reconnect Mode(0:always/1:OnDemand/2:Manual)
usb3g_reconnect_mode,Modo de reconexión (0:siempre/1:A petición/2:Manual)
#From:usb3g_max_idle_time,IDLE TIME
usb3g_max_idle_time,TIEMPO DE INACTIVIDAD
#From:usb_device,USB DEVICE(0:3G Modem/1:KCODE)
usb_device,DISPOSITIVO USB (0:Módem 3G/1:C?DIGO K)
#From:usb3g.manual,USB 3.5G Manual
usb3g.manual,Manual para USB 3,5 G
#From:usb3g.stat.titile,USB 3.5G Statistic
usb3g.stat.titile,Estadísticas para USB 3,5 G
#From:bln.title.usb,USB Settings
bln.title.usb,Parámetros para USB
#From:usb.wcn,WCN Configuration
usb.wcn,Configuración de WCN
#From:bwn.intro.usb,Use this section to configure your USB port. There are several configurations to choose from: Network USB, 3G USB Adapter and WCN Configuration.
bwn.intro.usb,Utilice esta sección para configurar su puerto USB. Existen varias configuraciones entre las que elegir: USB de red, adaptador para USB 3G y configuración WCN.
#From:usb.network,Network USB
usb.network,USB de red
#From:usb.3g,3G USB Adapter
usb.3g,Adaptador para USB 3G
#From:wwan_dial_num,Dial Number
wwan_dial_num,Marcar número
#From:bwn.wwanICT,WWAN Internet Connection Type
bwn.wwanICT,Tipo de conexión a Internet WWAN
#From:.ispinfo,Enter the information provided by your Internet Service Provider (ISP).
.ispinfo,Introduzca la información suministrada por su proveedor de servicios de Internet (ISP).
#From:wwan.auth.label,Authentication Protocol
wwan.auth.label,Protocolo de autenticación
#From:wwan.auth.auto,Auto(PAP+CHAP)
wwan.auth.auto,Automático (PAP+CHAP)
#From:wwan.auth.pap,PAP only
wwan.auth.pap,Sólo PAP
#From:wwan.auth.chap,CHAP only
wwan.auth.chap,Sólo CHAP
#From:wwan.auth.mschap,MS CHAP only
wwan.auth.mschap,Sólo MS CHAP
#From:usb.network.help,Select to share a USB printer, scanner, or storage device connected to the USB port behind the router with multiple users within your network.
usb.network.help,Selecciónelo para compartir una impresora, escáner o dispositivo de almacenamiento USB conectado al puerto USB de la parte posterior del router con varios usuarios dentro de su red.
#From:usb.network.support.help,Device drivers and the D-Link USB Network Utility must be installed on each computer that will use the device.
usb.network.support.help,Los controladores del dispositivo y la utilidad de red USB de D-Link se deben instalar en cada ordenador que utilizará el dispositivo.
#From:usb.3g.help,Select 3G USB Adapter to use a 3G adapter to provide access to the Internet using an EV-DO cellular signal. Simply connect a 3G USB adapter to access the Internet (third party EV-DO subscription and available signal required).
usb.3g.help,Seleccione Adaptador para USB 3G para utilizar un adaptador 3G para dar acceso a Internet utilizando una señal celular EV-DO. Simplemente conecte un adaptador para USB 3G para conectar a Internet (necesita suscripción y señal disponible EV-DO de terceros).
#From:usb.3g.help.support.help,If you have trouble accessing the Internet through the router. Double check the settings you entered on this page and verify with your Internet Service Provider (ISP) if needed.
usb.3g.help.support.help,Si tiene problemas para acceder a Internet a través del router. Compruebe de nuevo los parámetros que ha introducido en esta página y verifíquelos con su proveedor de servicios de Internet (ISP), si es necesario.
#From:usb.wcn.help,Select to configure your wireless network using Windows Connect Now (WCN). WCN allows you to copy your wireless settings from the router to a USB flash drive and use to automatically configure the wireless settings on your computer(s) or other WCN-compatible devices.
usb.wcn.help,Selecciónelo para configurar su red inalámbrica utilizando Windows Connect Now (WCN). WCN le permite copiar sus parámetros inalámbricos desde el router a una unidad flash USB y utilizarlos para configurar automáticamente los parámetros inalámbricos en sus ordenadores o en otros dispositivos compatibles con WCN.
#From:bwn.mici.usb,My plug of USB type is
bwn.mici.usb,Mi enchufe de tipo USB es
#From:.info.netowrk,Please set Network USB Detection interval time, the router will automatically detect the USB device.
.info.netowrk,Configure el intervalo de tiempo de detección de USB de red, el router detectará automáticamente el dispositivo USB.
#From:.network.usb.auto,Enable Network USB Auto-Detection
.network.usb.auto,Activar detección automática de USB de red
#From:bwn.usb.time,Network USB Detection interval
bwn.usb.time,Intervalo de detección de USB de red
#From:bwn.bytes.usb,sec (range:3-600 sec.)
bwn.bytes.usb,segundos (rango: de 3 a 600 segundos)
#From:.wps.albert.1,Can't choose shared key when WPS is enable!!
.wps.albert.1,No puede elegir la clave compartida cuando está activado WPS.
#From:.wps.albert.2,Can't choos WPA-Enterprisey when WPS is enable!!
.wps.albert.2,No puede elegir la clave WPA-Enterprise cuando está activado WPS.
#From:usb.config1,Please configure your WWAN settings.  If you are unsure of the settings, please contact your Internet Service Provider (ISP).
usb.config1,Configure sus parámetros WWAN.  Si no está seguro de los  parámetros, póngase en contacto con su proveedor de servicios de Internet (ISP).
#From:usb.config2,Please configure your Internet Connection Type settings.  If you are unsure of the settings, please contact your Internet Service Provider (ISP).
usb.config2,Configure los parámetros de su tipo de conexión a Internet.  Si no está seguro de los  parámetros, póngase en contacto con su proveedor de servicios de Internet (ISP).
#From:usb.config3,The Internet Connection Type is not for 3G Internet connection.  Please select WWAN to support 3G Internet connection.
usb.config3,El tipo de conexión a Internet no es para la conexión 3G a Internet.  Seleccione WWAN para admitir la conexión 3G a Internet.
#From:usb.config4,The Internet Connection Type is for 3G Internet connection, please select another Internet Connection Type.
usb.config4,El tipo de conexión a Internet es para la conexión 3G a Internet, seleccione otro tipo de conexión a Internet.
#From:usb.config5,The Internet Connection Type you selected is for 3G Internet connection.  The USB settings will be changed from Network USB/WCN to 3G USB Adapter.
usb.config5,El tipo de conexión a Internet que ha seleccionado es para la conexión 3G a Internet.  Se cambiarán los parámetros USB de USB/WCN de red a Adaptador para USB 3G.
#From:usb.config6,The Internet Connection Type you selected is not for 3G Internet connection.  The USB settings will be changed from 3G USB Adapter to Network USB.
usb.config6,El tipo de conexión a Internet que ha seleccionado no es para la conexión 3G a Internet.  Se cambiarán los parámetros USB de Adaptador para USB 3G a USB de red.



#From:S555,Only Administrator has access to these functionalities.
S555,A estas funcionalidades solo puede acceder el administrador.
#From: KRL10,Secure your Wireless Network
KRL10, Asegure su red inalámbrica
#From: S9,(Username / Password)
S9, (nombre de usuario/clave de acceso)
#From:wwa.dnsset,DNS settings
wwa.dnsset,Configuración DNS
#From:wireless.gu,This wizard is designed to assist you in connecting your guest wireless device to your wireless router. It will guide you through step-by-step instructions on how to get your guest wireless device connected. Click the button below to begin.
wireless.gu,Este asistente está diseñado para ayudarle a conectar su dispositivo inalámbrico invitado a su router inalámbrico. Le guiará a través de instrucciones paso a paso para mostrarle cómo conectar su dispositivo inalámbrico invitado. Haga clic en el botón siguiente para comenzar.
#From:add.gu.wps,Add Guest Wireless with WPS
add.gu.wps,Añadir dispositivo inalámbrico invitado con WPS
#From:wwl.band,Wireless Band
wwl.band,Banda de Frecuencia inalámbrica
#From:.band,Band
.band,Banda de Frecuencia
#From:wwa.5G.nname,Manually set 5GHz band Network Name
wwa.5G.nname,Establecer manualmente el nombre de la red de la banda 5 GHz
#From:.guestzone,GUEST ZONE
.guestzone,ZONA DE INVITADOS
#From:YM190,Use this section to configure the guest zone settings of your router. The guest zone provide a separate network zone for guest to access Internet.
YM190,Utilice esta sección para configurar los parámetros de la zona de invitados del router. La zona de invitados ofrece una zona de red separada para que el invitado acceda a Internet.
#From:guestzone.title.1,Guest Zone Selection
guestzone.title.1,Selección de zona de invitados
#From:guestzone.enable,Enable Guest Zone
guestzone.enable,Activar zona de invitados
#From:guestzone.inclw,Include Wireless
guestzone.inclw,Incluir red inalámbrica
#From:guest,Guest
guest,Invitado
#From:lower.wnt,lower than wireless network
lower.wnt,inferior a la red inalámbrica
#From:equal.wnt,equal to wireless network
equal.wnt,igual a la red inalámbrica
#From:.lowest,lowest
.lowest,inferior
#From:ssid.lst,SSID List
ssid.lst,Lista de SSID
#From:dlink.help150,Guest clients can reach to the internet along guest SSIDs
dlink.help150,Los clientes invitados pueden acceder a Internet mediante los SSID invitados
#From:mult.ssid,Multiple SSID
mult.ssid,SSID múltiple
#From:dlink.help155,You may assign more than one SSID to each radio card.
dlink.help155,Puede asignar más de un SSID a cada módulo de radio.
#From:add.ed.ssid,Add/Edit SSID
add.ed.ssid,Añadir/Editar SSID
#From:dlink.help156,Enable or disable this SSID. When enabled, the following parameters are in effect.
dlink.help156,Activar o desactivar este SSID. Cuando está activado, están activos los siguientes parámetros.
#From:dlink.help157,This is the network to which the SSID belongs; SSID clients that belong to the same network can transmit data over this subnet.
dlink.help157,Esta es la red a la que pertenece el SSID; los clientes de SSID que pertenecen a la misma red pueden transmitir datos a través de esta subred.
#From:wpin.filter,WAN Ping Inbound Filter
wpin.filter,Filtro de respuesta a ping en el interfaz WAN
#From:dlink.help151,This shows SSIDs that you have defined.
dlink.help151,Muestra los SSID que haya definido.
#From:dlink.help152,Click the Enable checkbox at the left to directly activate or de-activate the entry.
dlink.help152,Haga clic en la casilla de verificación Activar de la izquierda para activar o desactivar directamente la entrada.
#From:dlink.help153,An entry can be changed by clicking the Edit icon or can be deleted by clicking the Delete icon.
dlink.help153,Se puede cambiar una entrada haciendo clic en el icono Editar o se puede borrar haciendo clic en el icono Borrar.
#From:dlink.help154,When you click the Edit icon, the item is highlighted, and the "Edit SSID" section is activated for editing.
dlink.help154,Al hacer clic en el icono Editar, se resalta el elemento y se activa la sección "Editar SSID" para editarlo.
#From:dlink.help158,Select a filter that controls which WAN computers can use the ping feature.
dlink.help158,Seleccione un filtro que controle los ordenadores de la WAN que pueden utilizar la funcionalidad ping.
#From:dlink.help159, If you do not see the filter you need in the list of filters, go to the  Advanced ??Inbound Filter screen and create a new filter.
dlink.help159,Si no encuentra el filtro que necesita en la lista de filtros, vaya a la pantalla Opciones avanzadas  Filtro de entrada y cree un filtro nuevo.


#From:GW_WAN_RATE_ESTIMATOR_RATE_COMPLETED,WAN interface speed measurement completed
GW_WAN_RATE_ESTIMATOR_RATE_COMPLETED,Se ha completado la medición de la velocidad de la interfaz WAN
#From:GW_WAN_RATE_ESTIMATOR_RESOURCE_ERROR,WAN interface speed measurements not started as low on resources
GW_WAN_RATE_ESTIMATOR_RESOURCE_ERROR,No se ha iniciado la medición de la interfaz WAN porque faltan recursos
#From:WIFISC_AP_PROXY_PROCESS_START,STA with MAC (%m) requested for WPS registration
WIFISC_AP_PROXY_PROCESS_START,Se ha solicitado STA con MAC (%m) para el registro WPS
#From:GW_WLS_SCHEDULE_START,gw_wireless_schedule start
GW_WLS_SCHEDULE_START,iniciar gw_wireless_schedule
#From:aa.alert.7.new1,are same Machine.
aa.alert.7.new1,are same Machine.
#From:IPMSCHAP_AUTH_FAIL_AND_NO_RETRY,MSCHAP send authentication response (Failure and no Retry).
IPMSCHAP_AUTH_FAIL_AND_NO_RETRY,MSCHAP envía respuesta de autentificación (falla y no se reintenta).
#From:dlink.1.bwl.schld,Scheduling for Wireless Settings
dlink.1.bwl.schld,Programación para parámetros inalámbricos
#From:tf.FWCheckInf,Check Latest Firmware Version
tf.FWCheckInf,Comprobar la última versión de firmware
#From:tf.ENFA,Email me if a newer Firmware is available
tf.ENFA,Enviarme un mensaje de correo si hay nuevo firmware disponible
#From:GW_WAN_RATE_ESTIMATOR_CONVERGENCE_ERROR,WAN interface speed measurement aborted as they did not converge
GW_WAN_RATE_ESTIMATOR_CONVERGENCE_ERROR,Se ha abortado la medición de la velocidad WAN porque no hay convergencia
#From:GW_WAN_RATE_ESTIMATOR_RATE_COMPLETED_WITH_SPEED,WAN interface speed measurement completed. Upstream speed is %u kbps
GW_WAN_RATE_ESTIMATOR_RATE_COMPLETED_WITH_SPEED,Se ha completado la medición de la velocidad WAN. La velocidad del flujo ascendente es de %u kbps
#From:IPMSCHAP_AUTH_SEND_CHALLENGE,MSCHAP authenticator send challenge.
IPMSCHAP_AUTH_SEND_CHALLENGE,El autentificador MSCHAP ha enviado un desafío.
#From:GW_WLS_SCHEDULE_STOP,gw_wireless_schedule stop
GW_WLS_SCHEDULE_STOP,detener gw_wireless_schedule
#From:add_wireless_device,Adding wireless device:
add_wireless_device,Añadiendo dispositivo inalámbrico:
#From:help890_1,Register the email notification service online to receive an email notification when a newer version of the firmware is available.
help890_1,Registrarse al servicio de notificación por correo electrónico para recibir un aviso por correo electrónico cuando esté disponible una nueva versión del firmware.
#From:tt.week.6,6th
tt.week.6,6.º
#From:GW_ROUTES_GATEWAY_SUBNET_SAME,Destination and Gateway should not reside on the same subnet %v
GW_ROUTES_GATEWAY_SUBNET_SAME,Destino y gateway no pueden estar en la misma subred %v
#From:GW_WLS_SCHEDULE_INIT,gw_wireless_schedule init
GW_WLS_SCHEDULE_INIT,iniciar gw_wireless_schedule
#From:tf.CKN,Check Now
tf.CKN,Comprobar ahora
#From:dlink.1.bw1.schld.help,When Wireless is enabled, the default selection for scheduling is "Always". Selections for other schedules will be available in the drop down menu after users define schedules in the "Schedule" page. This function gets disabled when wireless is disabled.
dlink.1.bw1.schld.help,Cuando está habilitado el modo inalámbrico, la selección por defecto para la programación es «Siempre». En el menú desplegable se podrán seleccionar otras programaciones cuando los usuarios hayan definido programaciones en la página Programación. Esta función queda deshabilitada cuando se deshabilita el modo inalámbrico.
