
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Immettere la password corretta, quindi digitare i caratteri visualizzati nell'immagine seguente.
#From:regenerate,Regenerate
regenerate,Ricrea
#From:li.alert.4,Please enter the graphical authentication code.
li.alert.4,Immettere il codice di autenticazione grafica.
#From:.graph_auth,Enable Graphical Authentication
.graph_auth,Abilita autenticazione grafica

#From:bwn.msg.usb,Choose the type of USB device to be plugged into the USB port.
bwn.msg.usb,Scegliere il tipo di dispositivo USB da collegare alla porta USB.
#From:bwn.note.usb,If using the Network USB option, users will need to install the Network USB Utility into their computers to share the USB device through the router.
bwn.note.usb,Se si utilizza l'opzione USB in rete, gli utenti dovranno installare la relativa utilit? nei propri computer per condividere il dispositivo USB tramite il router.
#From:.country,Country
.country,Paese
#From:.select.country,Select your country
.select.country,Selezionare il proprio paese
#From:.select.ISP,Select your ISP
.select.ISP,Selezionare il proprio ISP
#From:country.1,Australia
country.1,Australia
#From:country.2,Italy
country.2,Italia
#From:country.3,Portugal
country.3,Portogallo
#From:country.4,UK
country.4,Regno Unito
#From:country.5,Indonesia
country.5,Indonesia
#From:country.6,Malaysia
country.6,Malesia
#From:country.7,Singapore
country.7,Singapore
#From:country.8,Philippine
country.8,Filippine
#From:country.9,South Africa
country.9,Sudafrica
#From:country.10,HongKong
country.10,Hong Kong
#From:country.11,Taiwan
country.11,Taiwan
#From:country.12,Egypt
country.12,Egitto
#From:country.13,Dominican Republic
country.13,Repubblica Dominicana
#From:country.14,El Salvador
country.14,El Salvador
#From:country.15,Brasil
country.15,Brasile

#From:usb3g.titile,USB 3.5G Settings
usb3g.titile,Impostazioni del dispositivo USB 3,5G
#From:usb3g_apn_name,APN Name
usb3g_apn_name,Nome APN
#From:usb3g_dial_num,Dial Mumber
usb3g_dial_num,Numero di telefono
#From:usb3g_reconnect_mode,Reconnect Mode(0:always/1:OnDemand/2:Manual)
usb3g_reconnect_mode,Modalit? di riconnessione (0:sempre/1:su richiesta/2:manuale)
#From:usb3g_max_idle_time,IDLE TIME
usb3g_max_idle_time,TEMPO DI INATTIVITA
#From:usb_device,USB DEVICE(0:3G Modem/1:KCODE)
usb_device,DISPOSITIVO USB (0:Modem 3G /1:KCODE)
#From:usb3g.manual,USB 3.5G Manual
usb3g.manual,Manuale utente per il dispositivo USB 3,5G
#From:usb3g.stat.titile,USB 3.5G Statistic
usb3g.stat.titile,Statistiche del dispositivo USB 3,5G
#From:bln.title.usb,USB Settings
bln.title.usb,Impostazioni del dispositivo USB
#From:usb.wcn,WCN Configuration
usb.wcn,Configurazione WCN
#From:bwn.intro.usb,Use this section to configure your USB port. There are several configurations to choose from: Network USB, 3G USB Adapter and WCN Configuration.
bwn.intro.usb,In questa sezione è possibile configurare la porta USB in uso. ? possibile scegliere tra diversi tipi di configurazione: Configurazione del dispositivo USB di rete, Adapter per USB 3G e WCN.
#From:usb.network,Network USB
usb.network,USB di rete
#From:usb.3g,3G USB Adapter
usb.3g,Adattatore USB 3G
#From:wwan_dial_num,Dial Number
wwan_dial_num,Numero di telefono
#From:bwn.wwanICT,WWAN Internet Connection Type
bwn.wwanICT,Tipo di connessione Internet WWAN
#From:.ispinfo,Enter the information provided by your Internet Service Provider (ISP).
.ispinfo,Immettere le informazioni fornite dall'Internet Service Provider (ISP).
#From:wwan.auth.label,Authentication Protocol
wwan.auth.label,Protocollo di autenticazione
#From:wwan.auth.auto,Auto(PAP+CHAP)
wwan.auth.auto,Auto(PAP+CHAP)
#From:wwan.auth.pap,PAP only
wwan.auth.pap,solo PAP
#From:wwan.auth.chap,CHAP only
wwan.auth.chap,solo CHAP
#From:wwan.auth.mschap,MS CHAP only
wwan.auth.mschap,solo MS CHAP
#From:usb.network.help,Select to share a USB printer, scanner, or storage device connected to the USB port behind the router with multiple users within your network.
usb.network.help,Selezionare questa opzione per condividere stampanti, scanner o unit? disco USB da collegare alla porta USB dietro un router installato su una rete con più utenti.
#From:usb.network.support.help,Device drivers and the D-Link USB Network Utility must be installed on each computer that will use the device.
usb.network.support.help,I driver del dispositivo e D-Link USB Network Utility dovranno essere installati in ciascuno dei computer sui quali si prevede l'uso del dispositivo.
#From:usb.3g.help,Select 3G USB Adapter to use a 3G adapter to provide access to the Internet using an EV-DO cellular signal. Simply connect a 3G USB adapter to access the Internet (third party EV-DO subscription and available signal required).
usb.3g.help,Selezionare Adapter USB 3G se si desidera utilizzare un adattatore 3G per l'accesso a Internet tramite il segnale cellulare EV-DO. Per poter accedere a Internet basta collegare un adattatore USB 3G (è necessario sottoscrivere un abbonamento EV-DO presso terzi ed essere raggiunti dal relativo segnale).
#From:usb.3g.help.support.help,If you have trouble accessing the Internet through the router. Double check the settings you entered on this page and verify with your Internet Service Provider (ISP) if needed.
usb.3g.help.support.help,Se l'accesso a Internet tramite il router presenta problemi,  controllare nuovamente le impostazioni immesse in questa sezione e, se necessario, contattare il Internet Service Provider (ISP).
#From:usb.wcn.help,Select to configure your wireless network using Windows Connect Now (WCN). WCN allows you to copy your wireless settings from the router to a USB flash drive and use to automatically configure the wireless settings on your computer(s) or other WCN-compatible devices.
usb.wcn.help,Selezionare questa opzione per configurare la rete wireless utilizzando Windows Connect Now (WCN). WCN consente di copiare le impostazioni wireless dal router a un'unit? disco flash USB per poter configurare automaticamente le impostazioni del wireless sul/sui computer in uso o su altri dispositivi compatibili con il protocollo WCN.
#From:bwn.mici.usb,My plug of USB type is
bwn.mici.usb,Tipo di entrata USB
#From:.info.netowrk,Please set Network USB Detection interval time, the router will automatically detect the USB device.
.info.netowrk,Impostare l'Intervallo di rilevamento dell'USB in rete per consentire al router di rilevare il dispositivo USB automaticamente.
#From:.network.usb.auto,Enable Network USB Auto-Detection
.network.usb.auto,Abilita la ricerca automatica dell'USB in rete
#From:bwn.usb.time,Network USB Detection interval
bwn.usb.time,Intervallo di rilevamento dell'USB di rete
#From:bwn.bytes.usb,sec (range:3-600 sec.)
bwn.bytes.usb,sec (intervallo:3-600 sec.)
#From:.wps.albert.1,Can't choose shared key when WPS is enable!!
.wps.albert.1,Impossibile scegliere la chiave condivisa quando WPS è abilitato
#From:.wps.albert.2,Can't choos WPA-Enterprisey when WPS is enable!!
.wps.albert.2,Impossibile scegliere WPA Enterprise quando WPS è abilitato
#From:usb.config1,Please configure your WWAN settings.  If you are unsure of the settings, please contact your Internet Service Provider (ISP).
usb.config1,Configurare le impostazioni WWAN.  Se non si è certi delle impostazioni da selezionare, contattare il proprio ISP (Internet Service Provider).
#From:usb.config2,Please configure your Internet Connection Type settings.  If you are unsure of the settings, please contact your Internet Service Provider (ISP).
usb.config2,Configurare le impostazioni relative al Tipo di connessione Internet.  Se non si è certi delle impostazioni da selezionare, contattare il proprio ISP (Internet Service Provider).
#From:usb.config3,The Internet Connection Type is not for 3G Internet connection.  Please select WWAN to support 3G Internet connection.
usb.config3,Il Tipo di connessione Internet selezionato non è compatibile con la modalit? di connessione 3G.  Per poter supportare la modalit? 3G è necessario selezionare WWAN.
#From:usb.config4,The Internet Connection Type is for 3G Internet connection, please select another Internet Connection Type.
usb.config4,Il Tipo di connessione a Internet selezionato corrisponde alla modalit? 3G. Selezionare un altro Tipo di connessione.
#From:usb.config5,The Internet Connection Type you selected is for 3G Internet connection.  The USB settings will be changed from Network USB/WCN to 3G USB Adapter.
usb.config5,Il Tipo di connessione Internet selezionato è compatibile con la modalit? di connessione 3G.  Le impostazioni USB verranno modificate da rete USB/WCN a Adapter USB 3G.
#From:usb.config6,The Internet Connection Type you selected is not for 3G Internet connection.  The USB settings will be changed from 3G USB Adapter to Network USB.
usb.config6,Il tipo di connessione Internet selezionato non è compatibile con la modalit? di connessione 3G.  Le impostazioni USB verranno modificate da Adapter USB 3G a USB di rete.


#From:S555,Only Administrator has access to these functionalities.
S555,Solo l'amministratore ha accesso a queste funzionalit?.
#From: KRL10,Secure your Wireless Network
KRL10, rendere sicura la vostra rete senza-fili
#From: S9,(Username / Password)
S9, (Nome utente / Password)
#From:wwa.dnsset,DNS settings
wwa.dnsset,Impostazioni DNS
#From:wireless.gu,This wizard is designed to assist you in connecting your guest wireless device to your wireless router. It will guide you through step-by-step instructions on how to get your guest wireless device connected. Click the button below to begin.
wireless.gu,Utilizzare questa procedura guidata per connettere il dispositivo wireless guest al router wireless. Eseguendo i passaggi della procedura guidata sar? possibile connettere il dispositivo wireless guest. Fare clic sul pulsante in basso per iniziare.
#From:add.gu.wps,Add Guest Wireless with WPS
add.gu.wps,Aggiungi dispositivo wireless guest con WPS
#From:wwl.band,Wireless Band
wwl.band,Banda wireless
#From:.band,Band
.band,Banda
#From:wwa.5G.nname,Manually set 5GHz band Network Name
wwa.5G.nname,Imposta manualmente nome di rete con 5 GHz di banda
#From:.guestzone,GUEST ZONE
.guestzone,ZONA GUEST
#From:YM190,Use this section to configure the guest zone settings of your router. The guest zone provide a separate network zone for guest to access Internet.
YM190,In questa sezione è possibile configurare le impostazioni della zona guest per il router. Tale zona costituisce una zona di rete distinta per consentire ai dispositivi guest di accedere a Internet.
#From:guestzone.title.1,Guest Zone Selection
guestzone.title.1,Selezione zona guest
#From:guestzone.enable,Enable Guest Zone
guestzone.enable,Abilita zona guest
